period	acc0	acc1	acc2	accuracy	time0	time1	time2	time	rate0	rate1	rate2	accpick0	accpick1	accpick2
2016-01	90,71	91,36	93,86	93,53	0,1594	0,4687	0,8656	0,2168	89,32	4,52	6,16	94,56	81,83	87,20
2016-02	89,98	91,06	93,18	93,13	0,1011	0,3239	0,5911	0,1443	88,38	5,12	6,50	94,20	85,18	84,82
2016-03	91,48	93,53	94,77	94,62	0,0947	0,3078	0,5902	0,1302	90,10	4,78	5,11	95,58	85,59	86,18
2016-04	92,03	92,61	95,32	95,37	0,1185	0,3198	0,5729	0,1570	89,72	3,25	7,03	95,90	90,92	90,74
2016-05	88,93	92,86	94,71	94,37	0,09515	0,3133	0,5722	0,1346	88,51	5,92	5,57	94,56	95,44	90,16
2016-06	89,60	92,89	92,42	92,61	0,1062	0,3303	0,6028	0,1523	87,53	5,82	6,65	94,68	94,77	63,47
2016-07	91,45	91,61	92,60	92,49	0,09997	0,3125	0,5686	0,1390	87,50	7,64	4,86	94,38	87,78	65,79
2016-08	89,92	91,61	93,74	93,89	0,1818	0,6809	1,359	0,2546	91,96	3,22	4,82	94,13	88,09	93,02
2016-09	89,86	91,59	91,79	91,99	0,1074	0,3412	0,6327	0,1319	93,51	3,29	3,20	92,35	92,00	81,39
2016-10	84,70	86,02	87,85	87,67	0,0956	0,2941	0,5344	0,1206	92,53	3,23	4,24	88,17	84,77	79,01
2016-11	78,78	80,16	81,05	80,79	0,09731	0,3062	0,5768	0,1165	94,10	3,34	2,55	80,41	90,46	81,85
2016-12	83,47	84,96	86,22	86,29	0,09705	0,3215	0,5901	0,1212	93,26	3,38	3,36	85,91	94,82	88,26
2017-01	85,65	86,82	88,12	87,86	0,0966	0,2986	0,5652	0,1163	94,54	2,21	3,25	87,78	88,45	89,85
2017-02	87,72	89,32	88,95	89,29	0,09714	0,3112	0,5685	0,1143	94,88	2,71	2,41	89,59	88,37	78,59
2017-03	76,43	89,75	89,80	90,09	0,09886	0,3218	0,6043	0,1425	83,37	14,33	2,31	88,81	98,24	85,85
2017-04	52,56	53,88	54,39	53,87	0,1053	0,3705	0,7	0,1348	93,67	2,47	3,86	53,21	71,94	58,23
2017-05	85,09	87,21	88,06	87,93	0,2449	0,8921	1,805	0,3092	94,24	2,80	2,96	88,15	85,25	83,43
2017-06	85,61	83,35	84,49	84,92	0,1108	0,3627	0,6925	0,1522	91,98	1,59	6,43	87,50	82,02	48,81
2017-07	82,51	85,37	85,51	85,38	0,1014	0,3358	0,6411	0,1370	91,22	3,88	4,90	85,85	86,92	75,36
2017-08	78,77	82,34	84,63	84,12	0,09897	0,3449	0,6311	0,1328	92,07	2,92	5,01	83,70	85,35	91,27
2017-09	87,73	89,42	91,53	92,20	0,09609	0,3087	0,5556	0,1235	92,21	3,40	4,39	92,32	92,44	89,35
2017-10	61,87	64,38	64,56	64,98	0,09937	0,3056	0,5511	0,1208	94,00	2,32	3,68	63,76	78,85	87,27
