period	acc0	acc1	acc2	accuracy	time0	time1	time2	time	rate0	rate1	rate2	accpick0	accpick1	accpick2
2017-11	84,53	87,03	86,36	86,80	0,09618	0,3358	0,6234	0,1206	93,83	2,82	3,35	87,59	85,43	65,96
2017-12	80,83	82,32	84,30	84,42	0,09919	0,3177	0,5808	0,1265	93,53	1,48	4,99	84,74	79,45	79,73
2018-01	66,87	72,60	68,69	68,46	0,09743	0,3058	0,5689	0,1215	92,54	4,22	3,24	68,36	83,64	51,38
2018-02	61,82	63,78	64,03	63,68	0,1105	0,3503	0,6255	0,1301	94,95	2,34	2,72	63,45	65,05	70,74
2018-03	84,45	86,06	87,43	87,64	0,2201	0,7848	1,612	0,2718	94,91	2,31	2,77	87,76	84,41	86,48
2018-04	66,45	68,18	68,88	68,41	0,1061	0,3235	0,5977	0,1223	95,89	1,47	2,64	68,02	66,06	83,83
2018-05	81,33	83,14	83,64	83,93	0,09839	0,3134	0,5656	0,1161	94,59	3,01	2,40	84,08	83,49	78,59
2018-06	42,15	43,58	46,91	46,51	0,1039	0,3262	0,5975	0,1367	92,31	1,91	5,78	43,93	63,11	82,29
2018-07	60,13	61,81	61,95	61,88	0,0997	0,3157	0,5907	0,1156	95,65	1,98	2,37	61,50	61,25	77,82
2018-08	56,56	60,14	60,39	61,09	0,1673	0,5758	1,114	0,2226	91,37	4,91	3,72	58,95	84,16	83,08
2018-09	72,02	79,27	79,75	80,55	0,1103	0,3076	0,5553	0,1526	84,14	11,43	4,44	79,16	93,22	74,20
2018-10	52,18	54,04	55,63	55,20	0,1002	0,326	0,5933	0,1254	93,04	3,42	3,54	53,65	75,64	76,30
2018-11	75,29	79,25	80,00	81,14	0,09594	0,3114	0,578	0,1283	89,83	6,25	3,91	80,79	84,05	84,67
2018-12	58,77	68,19	82,31	73,27	0,1389	0,4642	0,9003	0,2755	77,87	7,32	14,81	66,84	92,01	97,82
2019-01	58,38	62,92	70,91	67,25	0,3394	0,6023	0,869	0,4016	85,79	4,89	9,32	63,14	88,71	93,83
2019-02	53,17	57,43	67,15	63,86	0,1291	0,4282	0,8135	0,2323	81,20	6,61	12,19	57,88	86,13	91,67
2019-03	45,34	48,30	54,71	52,50	0,1013	0,3119	0,5632	0,1597	83,78	6,55	9,67	46,63	82,39	83,10
2019-04	62,64	63,45	71,61	71,22	0,1542	0,5301	1,042	0,2854	80,74	7,77	11,49	68,16	84,38	83,81
2019-05	73,28	75,40	78,90	77,32	0,101	0,3214	0,5748	0,1516	86,68	4,94	8,38	77,26	90,19	70,32
2019-06	71,61	74,35	74,89	74,79	0,09568	0,3231	0,576	0,1356	86,71	9,47	3,82	73,82	89,38	60,69
2019-07	57,06	56,14	59,61	59,25	0,1251	0,4526	0,8977	0,1843	89,56	4,81	5,62	57,40	75,92	74,41
2019-08	77,24	75,50	77,21	77,68	0,1214	0,3988	0,7582	0,1597	91,63	4,19	4,18	77,71	76,93	77,67
2019-09	60,37	60,86	61,77	61,41	0,1094	0,3403	0,618	0,1319	94,00	2,89	3,10	60,76	73,75	69,33
2019-10	58,20	58,50	60,23	59,85	0,1397	0,4811	0,9544	0,1885	91,30	4,66	4,04	58,05	80,41	76,73
2019-11	56,89	58,47	59,57	58,88	0,1064	0,3232	0,5992	0,1342	91,01	5,99	3,00	57,09	83,37	64,49
2019-12	73,87	75,75	77,03	76,96	0,1227	0,4073	0,7773	0,1696	89,27	6,29	4,44	76,66	87,47	68,02
